alphaNames,ddbTimeCost(ms)
1,304
2,253
3,126
4,83
5,107
6,25
7,123
8,96
9,34
10,100
11,117
12,10
13,186
14,95
15,205
16,191
17,151
18,93
19,51
20,221
21,63
22,95
23,14
24,50
25,83
26,55
27,214
28,59
29,357
30,65
31,413
32,50
33,75
34,216
35,108
36,345
37,145
38,84
39,182
40,71
41,24
42,81
43,72
44,75
45,151
46,23
47,214
48,
49,23
50,216
51,22
52,98
53,18
54,50
55,173
56,
57,41
58,
59,
60,125
61,118
62,327
63,
64,157
65,170
66,138
67,
68,217
69,
70,
71,204
72,219
73,142
74,341
75,251
76,
77,199
78,305
79,
80,
81,426
82,
83,185
84,79
85,219
86,101
87,
88,386
89,
90,
91,
92,194
93,
94,140
95,206
96,264
97,
98,360
99,185
100,
101,6
